worker_id,gender,age,party,voting_for,state,title,source,candidate,flesch,is_complex,fair,trust
36624282,male,30-49,no_affiliation,Not Voting,NY,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,Fox News,clinton,7.5,0,2,1
36624282,male,30-49,no_affiliation,Not Voting,NY,Trump not backing down from Fox debate boycott,Fox News,trump,11.7,1,-1,1
36624282,male,30-49,no_affiliation,Not Voting,NY,The Latest: Bible prominent in Final Cruz Pitches to Voters,Fox News,cruz,7.9,0,1,1
36624282,male,30-49,no_affiliation,Not Voting,NY,FACT CHECK: Audio refutes Trump's claim on China tariff,Fox News,trump,5.8,0,-1,1
36624282,male,30-49,no_affiliation,Not Voting,NY,"Clinton Allies Forming Group to Protect, Register Voters",Fox News,clinton,14.2,1,0,0
34470383,male,18-29,no_affiliation,Not Voting,CA,Cruz Looks to Shore Up Support Among Iowa Evangelicals,Fox News,cruz,11.8,1,0,0
34470383,male,18-29,no_affiliation,Not Voting,CA,"Sanders tours Roosevelt site, says Bation can learn from FDR",Fox News,sanders,14.1,1,1,1
34470383,male,18-29,no_affiliation,Not Voting,CA,The Latest: Sanders says Trump campaign based on division,Fox News,sanders,8,0,1,1
34470383,male,18-29,no_affiliation,Not Voting,CA,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,Fox News,clinton,7.5,0,0,0
34470383,male,18-29,no_affiliation,Not Voting,CA,Trump not backing down from Fox debate boycott,Fox News,trump,11.7,1,1,0
34470383,male,18-29,no_affiliation,Not Voting,CA,The Latest: Bible prominent in Final Cruz Pitches to Voters,Fox News,cruz,7.9,0,-1,-1
34470383,male,18-29,no_affiliation,Not Voting,CA,FACT CHECK: Audio refutes Trump's claim on China tariff,Fox News,trump,5.8,0,1,1
34470383,male,18-29,no_affiliation,Not Voting,CA,"Clinton Allies Forming Group to Protect, Register Voters",Fox News,clinton,14.2,1,0,0
35685724,male,18-29,no_affiliation,Not Voting,DE,Cruz Looks to Shore Up Support Among Iowa Evangelicals,Fox News,cruz,11.8,1,0,0
35685724,male,18-29,no_affiliation,Not Voting,DE,"Sanders tours Roosevelt site, says Bation can learn from FDR",Fox News,sanders,14.1,1,1,0
35685724,male,18-29,no_affiliation,Not Voting,DE,The Latest: Sanders says Trump campaign based on division,Fox News,sanders,8,0,1,1
35685724,male,18-29,no_affiliation,Not Voting,DE,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,Fox News,clinton,7.5,0,0,-1
35685724,male,18-29,no_affiliation,Not Voting,DE,Trump not backing down from Fox debate boycott,Fox News,trump,11.7,1,0,-1
35685724,male,18-29,no_affiliation,Not Voting,DE,The Latest: Bible prominent in Final Cruz Pitches to Voters,Fox News,cruz,7.9,0,0,0
35685724,male,18-29,no_affiliation,Not Voting,DE,FACT CHECK: Audio refutes Trump's claim on China tariff,Fox News,trump,5.8,0,2,1
35685724,male,18-29,no_affiliation,Not Voting,DE,"Clinton Allies Forming Group to Protect, Register Voters",Fox News,clinton,14.2,1,1,1
36620182,male,18-29,no_affiliation,Hillary Clinton,NY,Cruz Looks to Shore Up Support Among Iowa Evangelicals,Fox News,cruz,11.8,1,1,1
36620182,male,18-29,no_affiliation,Hillary Clinton,NY,"Sanders tours Roosevelt site, says Bation can learn from FDR",Fox News,sanders,14.1,1,1,1
36620182,male,18-29,no_affiliation,Hillary Clinton,NY,The Latest: Sanders says Trump campaign based on division,Fox News,sanders,8,0,1,1
36620182,male,18-29,no_affiliation,Hillary Clinton,NY,The Latest: Clinton Vows ‘top-to-bottom review’ of Gov’t,Fox News,clinton,7.5,0,1,1
36620182,male,18-29,no_affiliation,Hillary Clinton,NY,Trump not backing down from Fox debate boycott,Fox News,trump,11.7,1,0,-1
36620182,male,18-29,no_affiliation,Hillary Clinton,NY,The Latest: Bible prominent in Final Cruz Pitches to Voters,Fox News,cruz,7.9,0,1,0
