  41 ,2016-01-19 21:47:14
  40 ,2016-01-17 21:07:21
  40 ,2016-01-13 12:46:27
  39 ,2016-04-03 10:44:27
  39 ,2016-01-31 16:42:52
  38 ,2016-01-30 22:31:00
  37 ,2016-03-22 21:16:07
  37 ,2016-03-06 16:24:28
  37 ,2016-02-05 04:31:16
  37 , ISIL"
  36 ,2016-03-25 20:25:07
  36 ,2016-02-29 09:01:00
  36 ,2016-01-23 12:53:31
  35 ,2016-03-23 18:23:17
  35 ,2016-03-10 00:08:28
  35 ,2016-02-17 17:41:59
  35 ,2016-01-27 15:19:10
  35 ,2016-01-26 13:45:00
  35 ,2016-01-12 02:37:56
  35 , principled conservative'"
  35 , Trump well ahead"
  34 ,2016-04-13 02:23:14
  34 ,2016-04-12 17:28:59
  34 ,2016-03-02 13:17:35
  34 , and intrigues political scientists"
  33 ,2016-03-17 01:39:01
  33 ,2016-02-20 17:16:44
  33 ,2016-01-31 01:27:32
  33 ,2016-01-28 11:48:34
  33 ,2016-01-05 21:59:53
  33 ,2016-01-04 13:57:18
  32 ,2016-03-05 22:06:59
  32 ,2016-01-06 07:08:17
  32 , 'New York values'"
  31 ,2016-03-14 04:07:56
  31 ,2016-03-07 18:31:25
  31 ,2016-03-05 14:51:04
  31 ,2016-01-10 04:30:59
  30 ,2016-02-25 16:59:55
  30 ,2016-02-11 11:30:58
  30 ,2016-02-09 12:51:57
  30 ,2016-02-07 13:02:14
  30 ,2016-02-02 16:20:05
  30 ,2016-01-27 12:48:14
  30 ,2016-01-19 21:25:20
  30 ,2016-01-11 17:00:09
  30 ,2016-01-08 00:44:33
  30 , 'Trumpcare'"
  29 ,2016-03-06 14:54:11
  29 ,2016-02-29 03:44:58
  29 ,2016-02-15 18:44:30
  29 ,2016-01-20 12:00:27
  28 ,2016-03-15 19:55:53
  28 ,2016-02-26 08:36:33
  28 ,2016-02-09 12:13:38
  28 ,2016-02-06 21:41:11
  28 ,2016-01-31 21:11:15
  28 ,2016-01-21 10:07:47
  28 ,2016-01-20 23:45:53
  28 ,2016-01-17 18:05:22
  28 , Then Beat GOP"
  27 ,2016-04-25 17:01:07
  27 ,2016-03-07 21:32:15
  27 ,2016-02-21 17:24:35
  27 ,2016-02-17 22:37:45
  27 ,2016-02-13 02:31:06
  27 ,2016-01-29 19:45:31
  27 ,2016-01-28 15:12:41
  26 ,2016-04-27 04:42:23
  26 ,2016-03-11 22:07:26
  26 ,2016-03-01 11:21:11
  26 ,2016-02-28 01:32:21
  26 ,2016-02-25 10:05:22
  26 ,2016-02-05 23:33:30
  26 ,2016-01-29 02:37:43
  26 ,2016-01-25 15:38:42
  26 ,2016-01-08 23:23:18
  25 ,2016-04-10 14:25:08
  25 ,2016-04-07 14:46:14
  25 ,2016-03-18 08:25:39
  25 ,2016-03-15 02:02:52
  25 ,2016-03-01 14:02:46
  25 ,2016-02-23 12:03:53
  25 ,2016-01-27 23:24:16
  25 ,2016-01-26 21:32:13
  25 , Hitler and the Populist Moment"
  25 , Bush not goin' away"
  24 ,2016-03-22 02:15:12
  24 ,2016-03-21 23:50:57
  24 ,2016-03-16 19:33:12
  24 ,2016-03-16 05:45:37
  24 ,2016-03-01 18:28:25
  24 ,2016-02-28 14:54:19
  24 ,2016-02-19 13:12:29
  24 ,2016-02-19 02:22:29
  24 ,2016-01-29 15:46:03
  24 ,2016-01-24 17:35:02
  24 ,2016-01-24 01:02:13
  24 ,2016-01-22 20:27:08
  24 ,2016-01-19 10:18:45
  24 ,2016-01-10 14:01:29
  23 ,2016-04-14 00:21:10
  23 ,2016-03-11 08:01:11
  23 ,2016-03-01 01:03:07
  23 ,2016-02-01 14:55:01
  23 ,2016-01-30 23:49:13
  23 ,2016-01-27 21:43:30
  23 ,2016-01-20 21:24:53
  23 ,2016-01-05 03:06:25
  23 , turning it into an asset - CAMPAIGN 2016 LIVE BLOG"
  23 , but Sanders sticks around"
  22 ,2016-04-23 04:58:45
  22 ,2016-04-13 06:59:40
  22 ,2016-04-07 15:37:14
  22 ,2016-04-05 02:01:13
  22 ,2016-03-02 14:34:42
  22 ,2016-02-02 10:25:31
  22 ,2016-01-31 01:05:22
  22 , you lose in Republican debate"
  22 , or voters?"
  21 ,2016-04-25 02:32:18
  21 ,2016-03-24 01:55:06
  21 ,2016-02-11 19:19:17
  21 ,2016-02-10 03:33:11
  21 ,2016-02-05 02:57:32
  21 ,2016-01-29 14:35:54
  21 ,2016-01-20 22:36:17
  21 ,2016-01-20 13:30:21
  21 ,2016-01-08 23:24:05
  21 ,2016-01-06 12:59:32
  21 , makes himself the center of his pitch"
  21 , Would Rather Vote for Donald Trump than Hillary Clinton"
  20 ,2016-03-01 13:42:51
  20 ,2016-02-29 15:34:46
  20 ,2016-02-12 21:22:11
  20 ,2016-01-28 14:44:56
  20 ,2016-01-27 23:22:22
  20 ,' gives out tiny toy turtles"
  20 , joins Ted Cruz's finance team"
  19 ,2016-04-28 14:22:30
  19 ,2016-03-23 14:33:33
  19 ,2016-03-11 07:43:11
  19 ,2016-03-09 21:33:15
  19 ,2016-03-09 19:21:33
  19 ,2016-02-09 13:58:09
  19 ,2016-02-02 06:57:45
  19 ,2016-01-06 19:52:57
  19 , hunting for delegates"
  19 , PAC says"
  18 ,2016-04-25 15:41:10
  18 ,2016-03-16 15:53:03
  18 ,2016-03-08 03:06:03
  18 ,2016-03-08 02:34:48
  18 ,2016-02-27 22:56:56
  18 ,2016-02-21 03:08:51
  18 ,2016-02-04 20:46:10
  18 ,2016-01-27 02:30:45
  18 ,2016-01-14 16:32:12
  18 ,2016-01-06 20:26:54
  18 ,2016-01-06 17:13:50
  18 , Jeb Bush
  18 , Huckabee drop out of presidential race"
  17 ,2016-04-26 01:06:47
  17 ,2016-04-25 17:57:52
  17 ,2016-03-23 23:00:27
  17 ,2016-02-29 11:19:15
  17 ,2016-02-18 15:34:42
  17 ,2016-02-08 19:01:45
  17 ,2016-01-21 15:56:00
  17 ,2016-01-16 00:37:17
  17 ,2016-01-12 00:13:30
  17 ,2016-01-04 18:43:06
  17 , see opening in Cruz-Trump fight"
  16 ,2016-04-25 14:36:24
  16 ,2016-04-24 13:00:23
  16 ,2016-04-19 18:10:29
  16 ,2016-03-30 21:03:52
  16 ,2016-02-25 21:39:13
  16 ,2016-02-02 12:34:24
  16 ,2016-01-30 21:17:00
  16 ,2016-01-29 13:31:41
  16 ,2016-01-28 10:30:28
  16 ,2016-01-27 16:07:07
  16 ,2016-01-27 10:15:25
  16 ,2016-01-18 11:30:01
  16 , Marco Rubio? Who gets Iowa bump'?"
  15 ,2016-04-28 23:44:58
  15 ,2016-04-19 10:26:53
  15 ,2016-04-11 22:59:31
  15 ,2016-03-18 23:25:57
  15 ,2016-03-15 16:00:14
  15 ,2016-03-04 19:34:08
  15 ,2016-02-12 00:05:59
  15 ,2016-02-10 04:11:44
  15 ,2016-02-08 14:05:23
  15 ,2016-01-30 22:22:57
  15 ,2016-01-30 16:23:20
  15 ,2016-01-26 15:40:04
  15 ,2016-01-22 17:04:00
  15 ,2016-01-15 19:03:02
  15 ,2016-01-13 15:09:24
  15 ,2016-01-03 17:58:28
  15 , Clinton win Arizona"
  14 ,2016-04-17 14:49:00
  14 ,2016-03-29 15:25:30
  14 ,2016-03-15 20:48:27
  14 ,2016-02-25 18:34:41
  14 ,2016-02-02 13:58:25
  14 ,2016-02-02 11:56:30
  14 ,2016-01-30 20:57:18
  14 ,2016-01-13 13:03:24
  14 ,2016-01-09 00:22:30
  14 ,2016-01-05 12:30:10
  14 , gloats about his poll numbers"
  14 , and the conversation about Donald Trump"
  14 , Clinton in crucial primary"
  13 ,2016-03-27 23:30:58
  13 ,2016-03-16 04:34:25
  13 ,2016-03-13 13:20:24
  13 ,2016-02-23 15:22:58
  13 ,2016-02-05 06:36:43
  13 ,2016-02-04 03:06:58
  13 ,2016-02-02 09:29:38
  13 ,2016-02-01 21:34:46
  13 ,2016-01-31 18:34:54
  13 ,2016-01-26 21:11:21
