,url,title,sentiment_mean,num_tweets
21902,http://www.npr.org/2016/01/19/463423703/hillary-clintons-precocious-kid-questioners,Hillary Clinton's Precocious Kid Questioners,0.10000000149,10
21950,http://www.politico.com/story/2016/02/ben-carson-obama-was-raised-white-219657,Ben Carson: Obama was ‘raised white’,0.0,18
22023,https://www.washingtonpost.com/news/the-fix/wp/2016/03/24/donald-trump-is-the-best-thing-that-has-happened-to-hillary-clinton-in-the-2016-race/,Donald Trump is the best thing that has happened to Hillary Clinton in the 2016 race,0.047619048506,21
22063,https://www.washingtonpost.com/news/the-fix/wp/2016/03/25/the-curious-case-of-the-woman-donald-trump-interviewed-for-a-job-on-stage-this-week/,The curious case of the woman Donald Trump 'interviewed' for a job this week,-0.0384615398943,26
22136,http://www.politico.com/story/2016/03/super-tuesday-donald-trump-220106,Trump's Super Tuesday win sets off GOP alarm bells,0.727272748947,11
22144,http://www.politico.com/blogs/live-from-charleston-sc/2016/01/democratic-debate-terrorism-foreign-policy-217910,"Democrats leave terrorism, foreign policy out of top priorities",0.75,12
22151,http://www.politico.com/story/2016/01/bernie-sanders-super-pac-218478,Pro-Sanders super PAC brought in $2.3 million,1.0,29
22197,http://www.politico.com/magazine/story/2016/02/how-donald-trump-did-it-213581,How Trump Did It,0.121212124825,33
22213,http://www.politico.com/blogs/2016-gop-primary-live-updates-and-results/2016/02/marco-rubio-donald-trump-gop-voters-219714,Rubio: Majority of GOP voters don't want Trump,0.10000000149,10
22289,https://www.washingtonpost.com/politics/obama-is-increasingly-involved-in-the-2016-presidential-campaign/2016/03/17/0f76e0cc-eb13-11e5-b0fd-073d5930a7b7_story.html,Obama is increasingly involved in the 2016 presidential campaign,0.0333333350718,30
22338,http://www.huffingtonpost.com/chris-weigant/blame-john-mccain-for-don_b_9033590.html,Blame John McCain For Donald Trump,-1.0,28
22386,http://blogs.wsj.com/washwire/2016/03/14/donald-trump-poll-numbers-that-could-be-trouble-for-the-gop-in-november/,Donald Trump Poll Numbers That Could Be Trouble for the GOP in November,-0.10000000149,10
22425,http://www.politico.com/story/2016/01/armstrong-williams-accuses-ex-aides-trump-218112,Carson confidant accuses ex-aides of cozying up to Trump,-0.411764711142,17
22440,http://www.politico.com/story/2016/01/ted-cruz-spanking-daughter-hillary-clinton-benghazi-217534,"Asked about Benghazi, Cruz talks about spanking daughter",0.857142865658,14
22516,http://www.politico.com/story/2016/01/rick-perry-endorses-ted-cruz-218170,Rick Perry endorses Ted Cruz,0.710144937038,69
22573,https://www.washingtonpost.com/politics/trump-is-ahead-but-cruz-keeps-winning-the-trickier-delegate-contests/2016/04/09/bb08ea28-fe6b-11e5-9140-e61d062438bb_story.html,"Trump is ahead, but Cruz keeps winning the trickier delegate contests",0.909090936184,44
22669,http://www.huffingtonpost.com/mark-green/two-americas-obamas-bulli_b_9005592.html,Two Americas: Obama's Bullish SOTU vs. the GOP Debate's Bear in 'Revenant',0.181818187237,11
22723,https://www.washingtonpost.com/politics/trump-wins-south-carolina-bush-drops-out-of-gop-race/2016/02/20/16f80c9a-d655-11e5-be55-2cc3c1e4b76b_story.html,Trump wins South Carolina; Bush drops out of GOP race,0.923076927662,26
22727,http://www.wsj.com/articles/trumps-tax-returns-might-not-answer-questions-1456876429,Trump's Tax Returns Might Not Answer Questions,0.29411765933,17
22766,http://www.foxnews.com/politics/2016/01/04/cutting-through-campaign-myths-why-2016-remains-roller-coaster.html,"MEDIA BUZZ: 2016 remains a roller coaster - Bill Clinton stumps for Hillary, as Trump keeps up attacks - Ted Cruz embracing his combative style, turning it into an asset - CAMPAIGN 2016 LIVE BLOG",-0.391304343939,23
22769,https://www.washingtonpost.com/news/post-politics/wp/2016/01/19/will-sarah-palin-endorse-donald-trump-he-wont-say/,Will Sarah Palin endorse Donald Trump? He won't say.,0.0,16
22787,http://www.politico.com/story/2016/01/hillary-clinton-tax-wealthy-217583,Clinton proposes a new 4 percent tax on the wealthy,1.0,16
22880,http://www.npr.org/2016/01/07/462150716/christie-campaign-costs-topping-1-million-may-fall-to-n-j-taxpayers,Christie Campaign Costs Topping $1 Million May Fall To N.J. Taxpayers,0.833333313465,12
22907,http://blogs.wsj.com/washwire/2016/01/06/natural-born-quarrel-breaks-out-between-donald-trump-and-ted-cruz/,‘Natural Born’ Quarrel Breaks Out Between Donald Trump and Ted Cruz,0.769230782986,13
23028,http://www.politico.com/story/2016/01/barack-obama-bernie-sanders-218265,Obama to meet with Sanders,0.89473682642,19
23382,http://www.nytimes.com/live/iowa-caucus-2016-election/ted-cruz-wins-republican-caucuses-in-iowa-according-to-a-p/,Victory Deals Humbling Setback to Donald Trump,0.828571438789,35
23427,https://www.washingtonpost.com/news/wonk/wp/2016/02/29/marco-rubio-has-copied-donald-trumps-nasty-insult-style-and-tv-loves-it/,Marco Rubio has copied Donald Trump’s nasty insult style – and TV loves it,-0.800000011921,10
23467,https://www.washingtonpost.com/news/wonk/wp/2016/02/24/theres-a-very-good-reason-for-rubio-and-cruz-not-to-destroy-trump/,There’s a very good reason for Rubio and Cruz not to destroy Trump,-0.772727251053,22
23478,http://www.politico.com/story/2016/01/hillary-clinton-powerball-217715,Clinton: I'd use Powerball winnings to fund campaign,0.153846159577,13
23541,http://www.politico.com/story/2016/02/gop-braces-for-a-post-iowa-collision-218513,GOP braces for a post-Iowa collision,-0.3125,16
