,tid,url
1451363,706316987941519360,http://www.foxnews.com/politics/2016/03/04/sanders-clinton-to-attend-fnc-town-hall-ahead-michigan-primary.html
1770601,714839440175267845,http://www.foxnews.com/politics/2016/03/29/report-trump-campaign-manager-charged-with-battery-over-reporter-incident.html
1381564,707164862493818880,http://www.huffingtonpost.co.uk/2016/03/07/grandmother-suzanne-carpenter-donald-trump_n_9399448.html
1517736,708937927129042944,http://www.huffingtonpost.com/arianna-huffington/sunday-roundup_439_b_9447568.html?utm_source=dlvr.it&utm_medium=twitter
403959,697295605081710592,http://www.huffingtonpost.com/entry/bernie-sanders-judaism-primary_us_56ba9c23e4b08ffac1233818
136622,718513982215102465,http://www.huffingtonpost.com/entry/bernie-sanders-pope-francis-vatican-visit_us_57079315e4b0fc257c335ae7
1342755,705192569211379713,http://www.huffingtonpost.com/entry/senate-heroin-epidemic_us_56d7337ce4b03260bf78f28f
1456329,706485175132094465,http://www.huffingtonpost.com/entry/ted-cruz-louisiana-voters_us_56dba6d1e4b0ffe6f8e9b31f?sz6w29
273534,725194463073587200,http://www.huffingtonpost.com/entry/trump-clinton-establishment_us_57203686e4b0b49df6a9a6d0?ir=Politics&section=us_politics&utm_hp_ref=politics&utm_medium=twitter&utm_source=twitterfeed
170650,719395280492367872,http://www.huffingtonpost.com/kwame-rose/why-im-voting-for-bernie-sanders_b_9654888.html
1041809,692341173080432644,http://www.huffingtonpost.com/liam-miller/elizabeth-warren-sinks-clintons-hopes_b_9058526.html
1065110,692860475306958848,http://www.huffingtonpost.com/robert-reich/washington-post-bernie-sanders_b_8232640.html
552491,697877705082200064,http://www.huffingtonpost.com/robyn-morton/when-you-ask-me-to-vote-for-hillary_b_9197254.html
1509365,709035453555593217,http://www.latimes.com/politics/la-pol-ca-brown-reyes-campaign-20160313-story.html
1744518,714511259832549376,http://www.politico.com/blogs/2016-dem-primary-live-updates-and-results/2016/03/hillary-clinton-bernie-sanders-debates-221292
382435,722591277389189120,http://www.politico.com/blogs/2016-gop-primary-live-updates-and-results/2016/04/trump-winning-new-york-ted-cruz-222151
929036,692205794050314245,http://www.politico.com/magazine/story/2016/01/ted-cruz-2016-establishment-george-bush-213561
123189,720577846079537152,http://www.politico.com/magazine/story/2016/03/donald-trump-2016-political-science-213755
786040,697421847726530560,http://www.politico.com/story/2016/02/bernie-path-forward-219031
821531,702913748499955712,http://www.politico.com/story/2016/02/david-duke-trump-219777
1334344,705064134195466240,http://www.rawstory.com/2016/03/van-jones-brings-cnn-election-night-to-screeching-halt-with-awesome-takedown-of-trumps-kkk-games/#.VtcRvXuwjyI.twitter
