author,follower_ct,friends_count,favourites_count,verified
2369312460,315,194,3,False
66950901,1456,258,31,False
22427761,1889,2145,2,False
1595004308,59,709,0,False
571972438,1463,5,75,False
4324176556,8,9,0,False
1176994477,35846,351,96,True
237914799,1678,1961,6,False
380125872,201,0,0,False
2550890816,1716,4236,1324,False
52316850,14973,17282,0,False
110817971,220,4,0,False
1263424788,173,139,0,False
607558430,49018,24647,12757,False
2228914874,125,14,1,False
757590715,652,369,51,False
1214297317,,,,
303434772,656,877,2687,False
89871235,838,811,0,False
4664734403,9,9,23,False
4368329412,14,44,2,False
941647194,4754,1355,3,False
344803369,5560,537,314,False
234898121,211,43,10,False
48806604,2397,2744,2,False
973564621,882,468,0,False
2788397775,63,1281,0,False
1702976208,,,,
973554386,787,466,0,False
466864852,24624,453,787,False
3020686037,1962,1923,67,False
829117142,1040,1095,11,False
1550439127,1313,885,0,False
72684249,473,19,0,False
1965318876,1876,1307,47,False
19802846,18441,17505,38294,False
57412320,361,391,6,False
20953826,997,434,397,False
2361623269,8633,7242,12613,False
3328064230,3850,1871,360,False
87957969,17485,16273,105139,False
1100671100,706,1961,1,False
15823893,5133,517,4858,False
36046325,2122,2301,6154,False
320180972,188,6,0,False
17398510,1592,1610,72,False
3299093231,155,0,0,False
226484976,4163,4452,396,False
87063281,21673,1062,1681,True
21953631,10119,9238,1910,False
78701299,27132,300,670,False
366322420,484,534,49,False
15195038,8292,6586,593,False
291336460,3696,2572,21563,False
4915948279,776,40,0,False
2461997816,396,1038,0,False
285097277,5181,1532,382,False
21800063,10674,5398,2382,False
308534014,2091,3644,35653,False
50477823,,,,
936809216,184,230,1,False
18825344,4374,3923,12358,False
3020731138,,,,
16300160,2295,3819,15,False
1548489476,31148,93,125,True
70171397,27985,30727,3,False
19071750,4350,1,0,False
3505692801,299,300,87,False
269595400,144,0,0,False
75613996,1421,2188,29,False
565613322,74,101,1294,False
3058624983,638,1091,16,False
860728076,9,8,0,False
23812877,2644,3011,4,False
1406286607,617,311,0,False
1218777872,2597,2820,49,False
3331835352,10720,7202,10866,False
85181202,2162,2433,8,False
16710420,125724,87705,2107,False
102388126,930,410,50,False
58098679,1344,462,103,False
17120024,664,1866,98,False
233069337,2604,2137,6721,False
55039014,16,17,5,False
15360796,9960,10547,52,False
82471710,3904,1871,39,False
17449093,9313,9298,5816,False
3681149729,186,194,3011,False
226650520,603,621,24,False
14457638,347,1343,1025,False
44119857,17333,1537,13,False
606759720,131,44,9,False
57785129,12444,3157,9102,False
18389803,1372,2116,6,False
951915308,3111,931,2188,False
2868189997,968,1224,0,False
32305967,1323,1818,0,False
18792765,3024,2217,10122,True
163011383,110,177,11,False
291509050,51,23,82,False
702361937888333824,508,40,0,False
1634552636,24205,18292,46622,False
20834303,3564,4008,1859,False
55038606,43,23,0,False
2322897728,654,937,1052,False
2334410965,175,0,0,False
15382667,12074,1004,3742,True
12927812,7909,6640,773,False
354933574,48316,131,62,True
1345002433,21,2,58,False
154020681,1337,1173,93,False
2868140876,861,1224,0,False
1120176974,1099,729,11,False
172000417,90,13,1,False
1393501008,2011,1398,314,False
268900152,5050,1429,40,False
76397394,1566,1778,0,False
66286419,1230,296,4,False
36072276,4391,4546,30466,False
1020058453,493260,4896,917,True
2374587222,821,530,11,False
1214286679,11,207,4,False
262932110,,,,
1594970970,58,755,0,False
27550555,1042,2336,4401,False
2746186589,9147,10079,51,False
258036575,645,618,1189,False
19845473,3607,2970,1423,False
14560097,13030,4127,7399,True
470409867,605,1340,7,False
14345062,206264,1712,893,True
